,Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name,Cleaned_Review_Text,Extracted_Aspects,Aspect_Sentiment
7884,1078,46,It's a tent!,"As much as i buy from retailer, this is my first review. the pictures do not accurately show how large this dress is in person. i wanted something that was a bit flowy, but this was a reminder of little house on the prairie. the most unflattering dress ever and since it's only available online, i'm not interested enough to try a smaller size.",1,0,10,General,Dresses,Dresses,much buy retailer first review pictures accurately show large dress person wanted something bit flowy reminder little house prairie unflattering dress ever since available online im interested enough try smaller size,,
7885,1078,34,Great casual and dressy!,"This dress is fantastic.  i can't help but think the other gals who gave this a low rating were perhaps more petite and didn't size down.  i am 5'8 and usually a 10-12.  purchased the 8 and it is great!  fits wonderful and looks so nice for the price.  i like clothing that doesn't touch me and this does a great job, without looking sloppy.",4,1,0,General,Dresses,Dresses,dress fantastic cant help think gals gave low rating perhaps petite didnt size usually purchased great fits wonderful looks nice price like clothing doesnt touch great job without looking sloppy,['fit'],{'fit': 4.0}
7886,1078,62,,I bought this dress as a surprise for my daughter. she was very happy with it.,5,1,0,General,Dresses,Dresses,bought dress surprise daughter happy,,
8037,1078,56,Super comfortable,"I read the online reviews that the dress ran large so ordered size 6 and 8. i'm normally an 8 or 10, and the 6 fit perfectly. dress hangs beautifully and lining is really soft. appears that it will wrinkle somewhat easily but i am keeping it anyway since it's so beautiful. the bell sleeves are really cute! i highly recommend the dress.",5,1,0,General Petite,Dresses,Dresses,read online reviews dress ran large ordered size im normally fit perfectly dress hangs beautifully lining really soft appears wrinkle somewhat easily keeping anyway since beautiful bell sleeves really cute highly recommend dress,"['fit', 'lining']","{'fit': 1.0, 'lining': 1.0}"
8041,1078,51,Feeling pink!,Beautiful flowing feminine dress. runs large; size down. hot pink color. well made.,5,1,0,General Petite,Dresses,Dresses,beautiful flowing feminine dress runs large size hot pink color well made,['color'],{'color': 2.0}
8047,1078,23,Pretty in pink,"I love this dress. i am usually a size 4, but ordered this in size 0 and it fits perfect! great for any season, and can dress up or dress down. the pink is the perfect shade - i feel like i'm elle woods!",5,1,0,General Petite,Dresses,Dresses,love dress usually size ordered size fits perfect great season dress dress pink perfect shade feel like im elle woods,['fit'],{'fit': 5.0}
8049,1078,46,Love this dress,I just received this dress tried it on. i totally fell in love with it . the pink is just beautiful.it's a little big so i will definitely will be exchanging it for a size 14 . you would absolutely love this dress.,5,1,31,General Petite,Dresses,Dresses,received dress tried totally fell love pink beautifulits little big definitely exchanging size would absolutely love dress,,
8055,1078,44,Great dress,This is a beautiful dress! the photos do not do it justice - the pink is gorgeous! it's also very comfortable but runs large. i'm usually a 6 or an 8 but purchased a 4.,5,1,0,General Petite,Dresses,Dresses,beautiful dress photos justice pink gorgeous also comfortable runs large im usually purchased,['comfort'],{'comfort': 3.0}
8059,1078,46,Wrinkled!,The dress arrived wrinkled so i washed it and pressed it. it looked beautiful until i sat down. the entire dress was wrinkled and it looked terrible all day. can't wear this again.,1,0,0,General Petite,Dresses,Dresses,dress arrived wrinkled washed pressed looked beautiful sat entire dress wrinkled looked terrible day cant wear,,
8065,1078,62,Pretty in pink,I love this dress! easy breezy flowy comfortable & pink! fits a true medium ...would recommend to anyone. makes me a little flirty!,5,1,0,General Petite,Dresses,Dresses,love dress easy breezy flowy comfortable pink fits true medium would recommend anyone makes little flirty,"['fit', 'comfort']","{'fit': 2.0, 'comfort': 2.0}"
8067,1078,32,Perfect postpartum dress!,"I bought this dress for a couple fall weddings to hide my postpartum belly. it was only available in a size 8 -- which is my typical size. i was nervous based on the reviews it would still be too big, but it fits perfectly. i am 5'10"", so i assume my frame can handle the drappiness well!",5,1,0,General Petite,Dresses,Dresses,bought dress couple fall weddings hide postpartum belly available size typical size nervous based reviews would still big fits perfectly assume frame handle drappiness well,['fit'],{'fit': 0.0}
8069,1078,45,"Retailer, make this dress in other colors, patterns","This dress is awesome! love everything about it, except the colors! the pink is ridiculous, it is like pepto on crack, there's no way, outside of being a bridesmaid, i would ever wear that shade of pink. nauseating. i would order the turquoise, but i don't think i want that either. plus the pink was the only color offered in the store, even though i saw the dress offered in black online at one time. why wouldn't you stock the black in-store???? i can no longer get it.

you need to offer this d",3,0,0,General Petite,Dresses,Dresses,dress awesome love everything except colors pink ridiculous like pepto crack theres way outside bridesmaid would ever wear shade pink nauseating would order turquoise dont think want either plus pink color offered store even though saw dress offered black online one time wouldnt stock black instore longer get need offer,['color'],{'color': 2.0}
8071,1078,52,Fun and flowy,"Fun dress to wear, i received numerous compliments on the color and design of the dress. very flowy and comfortable, love it. i wish i had bought a size smaller than i normally wea because it runs large, but an overall great dress",5,1,0,General Petite,Dresses,Dresses,fun dress wear received numerous compliments color design dress flowy comfortable love wish bought size smaller normally wea runs large overall great dress,"['comfort', 'color']","{'comfort': 3.0, 'color': 3.0}"
8074,1078,31,Comfortably chic,"I have a casual oceanside wedding to attend and thought this easy, yet elegant dress would be a good purchase. i initially bought two sizes: 10 and 12. i'm typically a 12 in more structured dresses (i.e., more rigid fabric with zippered entry) but because this dress was flowy and slipped on over the head, i also ordered the 10. i'm 5'5"", broader shoulders, 36d, with smaller hips that are typically one size smaller than my top half. the 12 ended up being comically huge and fit like a tent. the 10",4,1,1,General Petite,Dresses,Dresses,casual oceanside wedding attend thought easy yet elegant dress would good purchase initially bought two sizes im typically structured dresses ie rigid fabric zippered entry dress flowy slipped head also ordered im broader shoulders smaller hips typically one size smaller top half ended comically huge fit like tent,['fit'],{'fit': 3.0}
8077,1078,52,Perfect dress,"This dress is a great color, fabric, and the style is very flattering! i'm wearing to a wedding but it will be great for many events this fall! dressy enough for a cocktail party but could also wear to church!",5,1,0,General Petite,Dresses,Dresses,dress great color fabric style flattering im wearing wedding great many events fall dressy enough cocktail party could also wear church,"['style', 'color']","{'style': 3.0, 'color': 3.0}"
8080,1078,35,Horrible,"I cannot imagine this dress working in any size. i am a small, thin and average height woman (usually a 25/26 in pants, a size 32c bust, and 5'6"" tall). this dress was huge. i sized down to a 2 ( i am always a 4 in dresses) and this dress was still big... i do not know if i could size down to a 0 though as the shoulders seemed to fit right. it was ginormous. i got it for a wedding in two months and i will be 3 months pregnant, it still wouldn't work unless i was 9 months pregnant and carrying tr",1,0,2,General Petite,Dresses,Dresses,cannot imagine dress working size small thin average height woman usually pants size c bust tall dress huge sized always dresses dress still big know could size though shoulders seemed fit right ginormous got wedding two months months pregnant still wouldnt work unless months pregnant carrying tr,['fit'],{'fit': 0.0}
8081,1078,29,Love this dress!!!,"Saw this in store today and had to have it. the pink is a really bright pink - definitely more of a hot pink than it appears in the image online. i am a solid 10, and i bought this in an 8, so it definitely runs a size large. highly recommend!",5,1,3,General Petite,Dresses,Dresses,saw store today pink really bright pink definitely hot pink appears image online solid bought definitely runs size large highly recommend,,
8084,1078,48,,"I love this dress and received many compliments when i wore it. the pink is beautiful. however, it does run large so i will need to exchange it. the little square at the base of the neckline was crooked on the one i received. might not bug anyone else, but it bothered me.",5,1,3,General Petite,Dresses,Dresses,love dress received many compliments wore pink beautiful however run large need exchange little square base neckline crooked one received might bug anyone else bothered,['neckline'],{'neckline': 2.0}
8099,1078,57,Awesome prettie in pink,"Beautiful dress, just like wearing a night shirt!!  great flattering fit for most figures!! wonderful color love the bell sleeves.",5,1,0,General Petite,Dresses,Dresses,beautiful dress like wearing night shirt great flattering fit figures wonderful color love bell sleeves,"['fit', 'color']","{'fit': 6.0, 'color': 6.0}"
8100,1078,47,Better than i imagined,I hesitated to purchase this dress because of the color but it is a beautiful deep pink that i think would work with all skin tones. i ordered a size down as recommended by other reviewers and the dress fits perfectly. the feel is amazing - incredibly comfortable and not too short when you lean over!,5,1,0,General Petite,Dresses,Dresses,hesitated purchase dress color beautiful deep pink think would work skin tones ordered size recommended reviewers dress fits perfectly feel amazing incredibly comfortable short lean,"['fit', 'comfort', 'color']","{'fit': 3.0, 'comfort': 3.0, 'color': 3.0}"
8107,1078,30,Bad lining,"This dress looks like it would be so much fun to wear. when i tried it on, i was swimming in it. i do have to admit that the movement of the dress (had it fit right) would have been very fun. i was also really disappointed with the lining. there is dark green piping along the neckline, which bled through the pink of the dress and make it look like you dropped something on your dress. returning it :(",3,0,0,General Petite,Dresses,Dresses,dress looks like would much fun wear tried swimming admit movement dress fit right would fun also really disappointed lining dark green piping along neckline bled pink dress make look like dropped something dress returning,"['fit', 'neckline', 'lining']","{'fit': 2.0, 'neckline': 2.0, 'lining': 2.0}"
8111,1078,54,,This dress is adorable. dress it up or dress it down,5,1,0,General Petite,Dresses,Dresses,dress adorable dress dress,,
8112,1078,55,So pretty!,"Like many of the other reviewers, i thought this ran a little big. i am a 5'5"", 110lb pear and xs was perfect - i also ordered the small to be sure. it is not quite as close to the body as the picture. the color is gorgeous and saturated. it hits me mid thigh in a good way. the fabric is crepe on the outside and silky on the inside and it has a beautiful, high quality drapey-ness. it is unlined but not see through. it arrived wrinkled and sad, but a warm dry iron really brought out how gorgeous",5,1,0,General Petite,Dresses,Dresses,like many reviewers thought ran little big lb pear xs perfect also ordered small sure quite close body picture color gorgeous saturated hits mid thigh good way fabric crepe outside silky inside beautiful high quality drapeyness unlined see arrived wrinkled sad warm dry iron really brought gorgeous,"['quality', 'color']","{'quality': 6.0, 'color': 6.0}"
8114,1078,32,,"I usually do not buy dresses at full price but when i saw the teal version of this dress on the website i caved in and bought it. i had also tried the pink version of this dress in store. it's very cute and sweet but i don't think i can pull it off. the teal version is pretty accurate in color to the on screen image.

this dress runs huge. i usually wear a 6 or 8 in retailer dresses and went with a size 2 for this one. it fits comfortably without being too baggy or like a tent. the materi",5,1,0,General Petite,Dresses,Dresses,usually buy dresses full price saw teal version dress website caved bought also tried pink version dress store cute sweet dont think pull teal version pretty accurate color screen image dress runs huge usually wear retailer dresses went size one fits comfortably without baggy like tent materi,"['fit', 'comfort', 'color']","{'fit': 1.0, 'comfort': 1.0, 'color': 1.0}"
8118,1078,54,,"Beautiful dress but runs very large. it is made of a material that does not breath so if you tend to run hot, skip this dress. great style and looks good on almost any body type. colors are very attractive and is dressy enough for special occasions,",4,1,0,General Petite,Dresses,Dresses,beautiful dress runs large made material breath tend run hot skip dress great style looks good almost body type colors attractive dressy enough special occasions,"['style', 'color']","{'style': 3.0, 'color': 3.0}"
8299,1078,54,,Frumpy - looked like a nightgown on me; maybe  better on someone younger ...,2,0,0,General Petite,Dresses,Dresses,frumpy looked like nightgown maybe better someone younger,,
8327,1078,99,Beachy and boho!,"I love the weight of the material; sometimes crinkled gauze looks cheap; this does not. the lace trim is more 2-tone than the photo suggests, but that is not negative, and the color of the dress is more salmon than peach, again, not a negative. the length is as it is on the model, just below the knee. i wore it to what turned out to be surprise party for me at the beach! i paired it with huge silver hoops and silver flipflops. i felt special, stylish and comfortable. it was a good dress for some",5,1,1,General,Dresses,Dresses,love weight material sometimes crinkled gauze looks cheap lace trim tone photo suggests negative color dress salmon peach negative length model knee wore turned surprise party beach paired huge silver hoops silver flipflops felt special stylish comfortable good dress,"['comfort', 'color', 'length', 'weight']","{'comfort': 3.0, 'color': 3.0, 'length': 3.0, 'weight': 3.0}"
8347,1078,36,,"The style of this dress is quite lovely, i immediately gravitated towards it when i saw in the store, however once i tried it on it looked like a sack of potatoes...unfortunately the loose silhouette did not do anything for my figure, i should mention that i am 5'9"" and have an athletic figure but with hips. 
the design is very on trend and the dress does have some lovely details like the lace around the hip area and flowy fabric. but unfortunately it was not enough for me to purchase. also the",3,1,15,General Petite,Dresses,Dresses,style dress quite lovely immediately gravitated towards saw store however tried looked like sack potatoesunfortunately loose silhouette anything figure mention athletic figure hips design trend dress lovely details like lace around hip area flowy fabric unfortunately enough purchase also,['style'],{'style': 3.0}
8450,1078,31,"The perfect ""blue"" period dress","I am in love with this dress. the colors are amazing but also is the fabric. it is soft and supple. i am a curvy girl and this dress does all justice to my bust, waist, and hips. this is truly an amazing dress. you can dress it up or dress it down and the best part it is professional enough for a causal office look.",5,1,3,General Petite,Dresses,Dresses,love dress colors amazing also fabric soft supple curvy girl dress justice bust waist hips truly amazing dress dress dress best part professional enough causal office look,['color'],{'color': 3.0}
8466,1078,47,Love it!,"Love this dress! adorable, comfortable and figure flattering! cant go wrong with this purchase!",5,1,0,General Petite,Dresses,Dresses,love dress adorable comfortable figure flattering cant go wrong purchase,['comfort'],{'comfort': 4.0}
8471,1078,46,Adorable,So cute and a must have. took my normal p6 and fits perfect! love it,4,1,5,General Petite,Dresses,Dresses,cute must took normal p fits perfect love,['fit'],{'fit': 2.0}
8473,1078,54,Love this dress,"I have been watching this dress online since it arrived, finally decided to order it online. it is as great in person as it looks on the website. the fabric, cut and finishing of the dress are high quality and my usual size 10 fits great. it falls about 3"" above the knee on my 5'5"" frame which is a little short for the office, but i could do it on a friday with a cardigan. the fit is comfortable and flattering for a gal with broad shoulders and small curves. when i tried it on friends raved. thi",5,1,3,General Petite,Dresses,Dresses,watching dress online since arrived finally decided order online great person looks website fabric cut finishing dress high quality usual size fits great falls knee frame little short office could friday cardigan fit comfortable flattering gal broad shoulders small curves tried friends raved thi,"['fit', 'comfort', 'quality']","{'fit': 4.0, 'comfort': 4.0, 'quality': 4.0}"
8574,1078,20,Dress for the younger girls,I tried this dress in my usual size 4. the slip underneath was a big snug but the dress was fine. i sort of looked like a little girl in this dress. it is very pretty but more for the younger girls~not for the over 50 group.,4,1,3,General,Dresses,Dresses,tried dress usual size slip underneath big snug dress fine sort looked like little girl dress pretty younger girlsnot group,,
8575,1078,51,Absolutely beautiful,"This dress is really lovely in person. the fit was perfect and the length not too short. for reference, i'm very busty at 38f and the dress actually fit! (i'm an xl usually, and the fit was tts) the only thing i'm not crazy about is the slip, it's more of a flesh toned color. i'll probably swap it out for a white one please make more like these, retailer!",5,1,8,General,Dresses,Dresses,dress really lovely person fit perfect length short reference im busty f dress actually fit im xl usually fit tts thing im crazy slip flesh toned color ill probably swap white one please make like retailer,"['fit', 'color', 'length']","{'fit': 3.0, 'color': 3.0, 'length': 3.0}"
8576,1078,53,Way too much material,"First let me say i love the fabric and the pattern of the blue dress. but the fit is extremely loose. they could take out an entire 12 inches of material and it would still be a swing dress. the photo of the back of the model, where the blue dress goes in to her waist is not at all accurate. if it was, i would love this dress. the photo of the model wearing the other color is how the dress actually hangs - straight down from the underarms and then bigger as it goes toward the hemline. i am 5'7""",2,0,9,General,Dresses,Dresses,first let say love fabric pattern blue dress fit extremely loose could take entire inches material would still swing dress photo back model blue dress goes waist accurate would love dress photo model wearing color dress actually hangs straight underarms bigger goes toward hemline,"['fit', 'color', 'pattern', 'hemline']","{'fit': 1.0, 'color': 1.0, 'pattern': 1.0, 'hemline': 1.0}"
8578,1078,48,Love,This is such a beautiful dress. fell in love with it at first sight. it is very pretty. can be dressed up or down .. comes with an attached slip that is a tad longer than the dress and it shows on the bottom.. darling dress that will get lots of use this summer.,5,1,0,General,Dresses,Dresses,beautiful dress fell love first sight pretty dressed comes attached slip tad longer dress shows bottom darling dress get lots use summer,,
8580,1078,53,Super,As in super comfortable and a joy to wear. i saw it online and then went to the store to try it on. the moment i put it on i knew it was for me. i missed out on getting it in the other color. i hope you get more in other colors!,5,1,1,General,Dresses,Dresses,super comfortable joy wear saw online went store try moment put knew missed getting color hope get colors,"['comfort', 'color']","{'comfort': 1.0, 'color': 1.0}"
8589,1078,33,Better than expected,"After seeing an influx of this dress in my instagram feed i decided to go ahead and purchase it last weekend. i'm usually leery with the length of swing dresses, for instance the endora swing dress (paper crown) is a touch too short for my taste in petite sizing. either way, i decided to go ahead and purchase this dress in petite considering no previous reviews mentioned the length of the dress to be an issue. 

typically, i take a size 0 or xs in retailer clothing. i ordered a size 0 petite and",5,1,5,General,Dresses,Dresses,seeing influx dress instagram feed decided go ahead purchase last weekend im usually leery length swing dresses instance endora swing dress paper crown touch short taste petite sizing either way decided go ahead purchase dress petite considering previous reviews mentioned length dress issue typically take size xs retailer clothing ordered size petite,"['sizing', 'length']","{'sizing': 0.0, 'length': 0.0}"
8593,1078,53,Such a pretty vintage style dress,"I just bought this pretty dress at my local retailer after finally deciding to go in the store to try it on. once i saw it on display in the window in the lilac, i already knew i was going to try that one on and take it home though i really love both colors and prints. the dress fit me tts (sz 6, 34d-27-35) and looks absolutely adorable on! it's super soft, light weight but not so much that you don't feel it's worth the price and the design reminds me of the retailer i love. it has a wonderful vinta",5,1,8,General,Dresses,Dresses,bought pretty dress local retailer finally deciding go store try saw display window lilac already knew going try one take home though really love colors prints dress fit tts sz looks absolutely adorable super soft light weight much dont feel worth price design reminds retailer love wonderful vinta,"['fit', 'color', 'weight']","{'fit': 4.0, 'color': 4.0, 'weight': 4.0}"
8596,1078,31,Pretty but not for tall ladies,Loved the style and color/design but this dress was simply too short in the front. the slip was also slightly tight over hips. i wish this was longer!,3,1,1,General,Dresses,Dresses,loved style colordesign dress simply short front slip also slightly tight hips wish longer,"['style', 'color']","{'style': -1.0, 'color': -1.0}"
8597,1078,62,Beautiful spring dress!,"Tried this is my normal 4, and it fits exactly as shown. i can see how this could give issues to someone with any curves because the lining is definitely more fitted than the loose overlay, especially in the bust and hips. i found the quality to be very nice, length was slightly above the knee on my 5'7"" frame so it feels work-appropriate. my only wish is that the colors/pattern could transition better to multiple seasons. it definitely feels very springy and not much else.",5,1,0,General,Dresses,Dresses,tried normal fits exactly shown see could give issues someone curves lining definitely fitted loose overlay especially bust hips found quality nice length slightly knee frame feels workappropriate wish colorspattern could transition better multiple seasons definitely feels springy much else,"['fit', 'quality', 'color', 'pattern', 'length', 'lining']","{'fit': -1.0, 'quality': -1.0, 'color': -1.0, 'pattern': -1.0, 'length': -1.0, 'lining': -1.0}"
8601,1078,35,Flowly,This dress is really nice and lightweight. the slip is snug so the outer part floats nicely. but..it adds a bit too much volume if you have a lot of curves. it disguises in a way but also is a bit less flattering. i really wanted to like it because it's so breezy but a tad matronly on me.,2,1,1,General,Dresses,Dresses,dress really nice lightweight slip snug outer part floats nicely butit adds bit much volume lot curves disguises way also bit less flattering really wanted like breezy tad matronly,['weight'],{'weight': 2.0}
8602,1078,20,,"Definitely shorter than expected, but a super light, airy, and comfy dress for summer nights. a must for summer dinner parties!!!",5,1,0,General,Dresses,Dresses,definitely shorter expected super light airy comfy dress summer nights must summer dinner parties,,
8608,1078,63,"Soft, feminine dress, yes!","Lovely, flowing dress w a boho vibe. pretty design and fabric. agree w comments re stiff slip fabric but will keep it anyway. should be a great summer dress",4,1,0,General,Dresses,Dresses,lovely flowing dress w boho vibe pretty design fabric agree w comments stiff slip fabric keep anyway great summer dress,,
8618,1078,47,Wanted a pink dress,"Pale pink is a hard color to find these days. very happy with this purchase,
this dress is sweet, and a perfect transition piece from summer to fall in socal.
i have a number of maeve dresses and they are all oversized, so the 2 fit as expected. i'm normally a 4 in every other brand.
it can easily be worn with flats or wedges, or i imagine booties as the weather cools.",4,1,0,General Petite,Dresses,Dresses,pale pink hard color find days happy purchase dress sweet perfect transition piece summer fall socal number maeve dresses oversized fit expected im normally every brand easily worn flats wedges imagine booties weather cools,"['fit', 'color']","{'fit': 1.0, 'color': 1.0}"
8619,1078,53,Beautiful dress,I saw this dress in the lilac at the store and loved it immediately! the picture on the website does not do it justice.,5,1,65,General Petite,Dresses,Dresses,saw dress lilac store loved immediately picture website justice,,
8620,1078,39,Love love love,"Beautiful and very versatile dress. extremely forgiving for post baby bodies, while stylish and classy.",5,1,0,General Petite,Dresses,Dresses,beautiful versatile dress extremely forgiving post baby bodies stylish classy,,
8625,1078,43,,"After seeing this dress online i wanted to try it on and was not disappointed when i did. even though the coral color dress of the same style was pretty it wasn't the right color for me. i absolutely love the blue and white dress! i usually wear a size 8 but found the 6 was more flattering. i'm 5'2"" and the length was perfect - above the knee but not too high. love it!",5,1,4,General Petite,Dresses,Dresses,seeing dress online wanted try disappointed even though coral color dress style pretty wasnt right color absolutely love blue white dress usually wear size found flattering im length perfect knee high love,"['style', 'color', 'length']","{'style': 4.0, 'color': 4.0, 'length': 4.0}"
8629,1078,47,"Light and airy, i feel like a fairy","I love this dress. it is the kind of dress that i dream about. the feel is young and carefree. typically i love swing dresses on the tall thin models pictured but when i try them on i simply look frumpy. this dress is an exception. i have the lilac version and the fabric color and pattern enhance the boho pixie fairy aesthetic. for reference i am 5'4"" 122 lbs...average build a little busty 34dd. only the 6 was in stock so that is the size i ordered even though i wanted to try the 4. the 6 has en",5,1,2,General Petite,Dresses,Dresses,love dress kind dress dream feel young carefree typically love swing dresses tall thin models pictured try simply look frumpy dress exception lilac version fabric color pattern enhance boho pixie fairy aesthetic reference lbsaverage build little busty dd stock size ordered even though wanted try en,"['color', 'pattern']","{'color': 1.0, 'pattern': 1.0}"
8632,1078,57,Love it,"This dress is adorable! it fits loose and is not at all fitted, with the exception of the under cami lining. the picture showing front and back is being pulled to fit. :/ it fits like the model wearing the purple. my local store was out of my normal size so i sized up which really made no difference at all. the biggest difference would be the under cami. the dress is flowy and airy. one of the best casual dresses retailer has had in a long time. obviously, the blue is sold out till may. this can b",5,1,8,General Petite,Dresses,Dresses,dress adorable fits loose fitted exception cami lining picture showing front back pulled fit fits like model wearing purple local store normal size sized really made difference biggest difference would cami dress flowy airy one best casual dresses retailer long time obviously blue sold till may b,"['fit', 'lining']","{'fit': 1.0, 'lining': 1.0}"
8634,1078,27,Not for tall hourglass body types,"I was bummed about this dress! i saw it online and loved both colors. i tried it on in the store, and it did not work for me. i am 5'8"" tall with an hourglass figure, and it was too shot and too loose. it looked like a babydoll nightgown. i wanted to love it, but i think this one only works on smaller frames. onto the next...",4,0,0,General Petite,Dresses,Dresses,bummed dress saw online loved colors tried store work tall hourglass figure shot loose looked like babydoll nightgown wanted love think one works smaller frames onto next,['color'],{'color': 1.0}
8638,1078,34,Lilac and coral,"I am quite happy with this dress! i was wondering what the colors would look like in person, and i'm happy to report that the skirt is a nice mellow orange-coral. beautiful detail in the patterns used here, and i always like a dress that has great color-play close up and far away. for reference, i am a size 16, full figured, with a 40 c bust, and the size 16 was just right for me. sometimes with maeve dresses you can size down, but there is no stretch to the dress, or the slip, so that is someth",5,1,53,General Petite,Dresses,Dresses,quite happy dress wondering colors would look like person im happy report skirt nice mellow orangecoral beautiful detail patterns used always like dress great colorplay close far away reference size full figured c bust size right sometimes maeve dresses size stretch dress slip someth,"['color', 'pattern']","{'color': 4.0, 'pattern': 4.0}"
8639,1078,65,,"Sometimes i feel like i have to try on the dresses that sell out super fast, just out of curiosity. and sometimes, they're surprise hits, like this one. i tried on the purple/black/blue option, and i had to have it. it is boxy through the torso, but the length keeps it from being too cutesy--it's pretty short. i'm just 5'5"", and i'm not sure this is work appropriate without tights. i may have to try, though, as otherwise it's a great workable dress for summer--not too tight or revealing in the b",5,1,3,General Petite,Dresses,Dresses,sometimes feel like try dresses sell super fast curiosity sometimes theyre surprise hits like one tried purpleblackblue option boxy torso length keeps cutesyits pretty short im im sure work appropriate without tights may try though otherwise great workable dress summernot tight revealing b,['length'],{'length': 2.0}
8640,1078,50,Favorite dress,"I absolutely love this dress!! i bought it in the blue , the brown and the pink colors.. it is incredibly flattering. the one interesting thing that i found is that the pink dress seemed to run smaller than the other colors. so happy with the style and i have gotten so many compliments when i where them :)",5,1,0,General Petite,Dresses,Dresses,absolutely love dress bought blue brown pink colors incredibly flattering one interesting thing found pink dress seemed run smaller colors happy style gotten many compliments,"['style', 'color']","{'style': 2.0, 'color': 2.0}"
8643,1078,42,Absolutely gorgeous,"It is a beautiful dress, light and delicate. i got my usual xsmall ( 5'4"" 34c, 134 lbs). it comes with a slip and the slip is a bit fitted. it worked for me, but i can see this being an issue. it can easily be resolved with any other ivory or nude slip. it is worth it. very cute dress.",5,1,2,General Petite,Dresses,Dresses,beautiful dress light delicate got usual xsmall c lbs comes slip slip bit fitted worked see issue easily resolved ivory nude slip worth cute dress,['fit'],{'fit': 1.0}
8649,1078,35,Pretty dress,"Pretty, easy-to-wear dress. loose fitting. i am typically a size 4, size 4 fit, but i might have been able to go to a size 2 if i wanted it to be more fitted at the chest/arms.",4,1,0,General Petite,Dresses,Dresses,pretty easytowear dress loose fitting typically size size fit might able go size wanted fitted chestarms,['fit'],{'fit': -1.0}
8658,1078,53,Pretty,"To be honest, i bought this dress as a ride-along so i would meet a free shipping minimum in order to purchase the dress i really wanted. i wound up keeping this dress and returning the one i originally wanted. it's pretty, flowy, feminine. i even like the uneven-ish hemline, which normally doesn't appeal to me. it runs a bit large--you might want to size down. i got it in the black and tan...even though it's got short sleeves and is sort of summery, it will make a good transition piece to fall",4,1,0,General Petite,Dresses,Dresses,honest bought dress ridealong would meet free shipping minimum order purchase dress really wanted wound keeping dress returning one originally wanted pretty flowy feminine even like unevenish hemline normally doesnt appeal runs bit largeyou might want size got black taneven though got short sleeves sort summery make good transition piece fall,['hemline'],{'hemline': 3.0}
8660,1078,29,"Beautiful and soft, comfortable","I was so excited to receive this dress! it even has embroidered loops on the hem of the slip underneath which was such a cute detail. it's very pretty on. that being said, i ordered a size 4 which fit me perfectly (150 lbs) but ladies, i do not mean this in any way but in my personal opinion, my arms are out of shape. not toned and flabby. the sleeves on this dress will not do you any justice. it will make your arms look worse because of the shape of the sleeve. so keep that in consideration if",5,1,2,General Petite,Dresses,Dresses,excited receive dress even embroidered loops hem slip underneath cute detail pretty said ordered size fit perfectly lbs ladies mean way personal opinion arms shape toned flabby sleeves dress justice make arms look worse shape sleeve keep consideration,['fit'],{'fit': 0.0}
8661,1078,23,Perfectly feminine,"This dress makes you feel like a little kid. it certainly helps that it is an excellent twirling dress, for sure. i wish it had a little more definition to the waist--it just barely works for larger chested women, definitely on the line from being a little too baby doll shapeless. the colors are so beautiful and the fabric so light that it's hard to pass this one up. it's just too beautiful. i recommend it, but it's probably not for everyone.",5,1,3,General Petite,Dresses,Dresses,dress makes feel like little kid certainly helps excellent twirling dress sure wish little definition waistit barely works larger chested women definitely line little baby doll shapeless colors beautiful fabric light hard pass one beautiful recommend probably everyone,['color'],{'color': 4.0}
8667,1078,20,The best dress ever.,"This dress is absolute perfection. the quality of the dress is great, the fit is comfortable and it's such a fun summer dress. the slip underneath fits perfectly the outer layer is delicate yet durable.",5,1,1,General Petite,Dresses,Dresses,dress absolute perfection quality dress great fit comfortable fun summer dress slip underneath fits perfectly outer layer delicate yet durable,"['fit', 'comfort', 'quality']","{'fit': 2.0, 'comfort': 2.0, 'quality': 2.0}"
8668,1078,60,Beautiful but binding slip,I tried this dress on at my local store and was very disappointed in the slip portion of this dress. there is no give with the slip so even though the dress portion is quite flowy the slip prevents anyone with a large chest or hips to wear this dress.,2,0,11,General Petite,Dresses,Dresses,tried dress local store disappointed slip portion dress give slip even though dress portion quite flowy slip prevents anyone large chest hips wear dress,,
8669,1078,24,Beautiful feminine dress!!,"I saw this dress in the store in the coral color and tried it on. i am 5'4"", 34b, and slender to athletic build. i wear the size 2 in this dress. as far as sizes go for retailer, i would say it is tts. the slip fits like it should and the dress is flowing. it is not see through as were some of the other silk dresses this summer. it feels so comfortable and makes me feel pretty. it is a flowing dress and meant to fit that way. i waited for it to go on sale and the day it did i purchased it!!!",5,1,1,General Petite,Dresses,Dresses,saw dress store coral color tried b slender athletic build wear size dress far sizes go retailer would say tts slip fits like dress flowing see silk dresses summer feels comfortable makes feel pretty flowing dress meant fit way waited go sale day purchased,"['fit', 'comfort', 'color']","{'fit': 2.0, 'comfort': 2.0, 'color': 2.0}"
